seq_len,n,mean_score,std_score,q10,q50,q90,n_allergen,allergen_rate
1,2,0.527,0.038,0.4966,0.527,0.5574,2,100.0
2,61,0.4461,0.094,0.35,0.427,0.574,60,98.3607
3,357,0.4352,0.0992,0.314,0.418,0.574,337,94.3978
4,497,0.4309,0.1281,0.305,0.391,0.6054,453,91.1469
5,652,0.4396,0.1535,0.303,0.379,0.639,592,90.7975
6,978,0.4352,0.1571,0.299,0.373,0.714,879,89.8773
7,1177,0.4085,0.1541,0.278,0.355,0.631,970,82.4129
8,8498,0.3323,0.1031,0.24,0.317,0.418,5141,60.4966
9,10271,0.3311,0.1011,0.237,0.318,0.417,6316,61.4935
10,10881,0.3386,0.1176,0.233,0.319,0.431,6637,60.9962
11,17788,0.3257,0.0952,0.236,0.314,0.408,10488,58.9611
12,19980,0.3267,0.1063,0.233,0.312,0.409,11487,57.4925
13,19701,0.317,0.0995,0.224,0.305,0.404,10430,52.9415
14,20932,0.3117,0.0993,0.218,0.298,0.401,10266,49.0445
15,24030,0.308,0.0949,0.213,0.297,0.402,11729,48.8098
16,26035,0.3057,0.1011,0.207,0.292,0.403,11991,46.0572
17,27812,0.2976,0.0877,0.204,0.289,0.392,12251,44.0493
18,29671,0.2942,0.0954,0.196,0.283,0.393,12320,41.522
19,34257,0.2885,0.088,0.192,0.28,0.389,13686,39.951
20,990513,0.2666,0.0719,0.179,0.263,0.358,296991,29.9836
21,1646444,0.2863,0.0801,0.188,0.283,0.387,682273,41.4392
22,1708862,0.284,0.0803,0.185,0.28,0.385,687492,40.231
23,1758968,0.2805,0.0808,0.18,0.277,0.383,684138,38.8943
24,1804506,0.2766,0.0808,0.177,0.273,0.379,669418,37.097
25,1838703,0.2726,0.0815,0.171,0.269,0.376,651608,35.4385
26,1890131,0.2713,0.0823,0.169,0.267,0.376,658044,34.8147
27,1942447,0.2691,0.0836,0.166,0.265,0.376,658519,33.9015
28,1977641,0.2667,0.0852,0.162,0.262,0.375,655714,33.1564
29,2240568,0.2605,0.0857,0.155,0.255,0.371,688348,30.722
30,2196522,0.2582,0.0862,0.152,0.253,0.369,656328,29.8803
