FASTA filename	Sequence record ID	Length (aa)	Patent / family	Applicant / assignee	Protein / construct	Product / intended use	Potential application	Market authorization / regulatory status (checked 2026-08-05)	Safety and functional testing summary	Highest evidence level	FASTA availability / download	PDB/CIF accession	Patent source URL	Regulatory / external evidence URL	Confidence and limitations
JINBO_HC8_CN103122027B_257aa.fasta	JINBO_HC8_CN103122027B_257aa	257	CN103122027B	Shanxi Jinbo Bio-Pharmaceutical Co., Ltd.	Recombinant humanized type III collagen HC8/HC16	The related platform has produced recombinant type III humanized collagen lyophilized fibers and injectable gels. Exact identity between each listed patent sequence and each commercial batch has not been publicly confirmed.	Platform-linked applications: injectable facial dermal augmentation/filler for dynamic facial wrinkles; injectable gel for facial volume/contour correction; wound- and post-procedure skin-repair devices. Exact HC8/HC16 sequence-to-commercial-product mapping is not publicly confirmed.	Yes for related platform/material: NMPA registration 20213130488; later injectable gel registration 20253130751. A patent grant itself is not a product authorization.	Patent: expression, purification, structure/stability, and cell adhesion. Publications: fibroblast adhesion, proliferation, and ECM endpoints. Related medical devices underwent biocompatibility, clinical evaluation, and regulatory review.	E5	Yes; fasta_downloads/JINBO_HC8_CN103122027B_257aa.fasta	6A0A; 6A0C (structures of a related 30-aa functional-region trimer, not complete HC8/HC16 atomic models)	https://patents.google.com/patent/CN103122027B/en	https://mpa.xinjiang.gov.cn/xjyjj/gjjdt/202107/bca8d52276ac45bbb5941cf132c3236d.shtml	High for registration identifiers; medium for patent-sequence-to-commercial-product mapping
JINBO_HC16_CN103122027B_501aa.fasta	JINBO_HC16_CN103122027B_501aa	501	CN103122027B	Shanxi Jinbo Bio-Pharmaceutical Co., Ltd.	Recombinant humanized type III collagen HC8/HC16	The related platform has produced recombinant type III humanized collagen lyophilized fibers and injectable gels. Exact identity between each listed patent sequence and each commercial batch has not been publicly confirmed.	Platform-linked applications: injectable facial dermal augmentation/filler for dynamic facial wrinkles; injectable gel for facial volume/contour correction; wound- and post-procedure skin-repair devices. Exact HC8/HC16 sequence-to-commercial-product mapping is not publicly confirmed.	Yes for related platform/material: NMPA registration 20213130488; later injectable gel registration 20253130751. A patent grant itself is not a product authorization.	Patent: expression, purification, structure/stability, and cell adhesion. Publications: fibroblast adhesion, proliferation, and ECM endpoints. Related medical devices underwent biocompatibility, clinical evaluation, and regulatory review.	E5	Yes; fasta_downloads/JINBO_HC16_CN103122027B_501aa.fasta	6A0A; 6A0C (structures of a related 30-aa functional-region trimer, not complete HC8/HC16 atomic models)	https://patents.google.com/patent/CN103122027B/en	https://mpa.xinjiang.gov.cn/xjyjj/gjjdt/202107/bca8d52276ac45bbb5941cf132c3236d.shtml	High for registration identifiers; medium for patent-sequence-to-commercial-product mapping
JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa.fasta	JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa	480	US11396537B2 / US20200165319A1	Shanxi Jinbo Bio-Pharmaceutical Co., Ltd.	Recombinant humanized type III collagen containing 16 repeats of a 30-aa COL3A1 functional region	Related platform products include recombinant type III humanized collagen lyophilized fibers, injectable gels, and repair devices.	Platform-linked applications: injectable lyophilized-fiber dermal filler for facial wrinkles; injectable gel for mid-face volume/contour correction; wound/skin-repair solution or dressing. Exact 16-repeat construct-to-product mapping is not publicly confirmed.	Yes for related platform/products: NMPA registrations 20213130488 and 20253130751. Whether each commercial product uses the exact listed variant requires manufacturer batch documentation.	SDS-PAGE, mass spectrometry, yield/purity, endotoxin, six-month aqueous stability, cell adhesion, related crystal structures, medical-device review, and human clinical/use evidence.	E5	Yes; fasta_downloads/JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa.fasta	6A0A; 6A0C (related functional-region structures; not full 480-490 aa structures)	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	High for patent experiments, PDB entries, and registrations; medium for commercial-construct mapping
JINBO_TEV_rhCollagenIII_16x_486aa.fasta	JINBO_TEV_rhCollagenIII_16x_486aa	486	US11396537B2 / US20200165319A1	Shanxi Jinbo Bio-Pharmaceutical Co., Ltd.	Recombinant humanized type III collagen containing 16 repeats of a 30-aa COL3A1 functional region	Related platform products include recombinant type III humanized collagen lyophilized fibers, injectable gels, and repair devices.	Platform-linked applications: injectable lyophilized-fiber dermal filler for facial wrinkles; injectable gel for mid-face volume/contour correction; wound/skin-repair solution or dressing. Exact 16-repeat construct-to-product mapping is not publicly confirmed.	Yes for related platform/products: NMPA registrations 20213130488 and 20253130751. Whether each commercial product uses the exact listed variant requires manufacturer batch documentation.	SDS-PAGE, mass spectrometry, yield/purity, endotoxin, six-month aqueous stability, cell adhesion, related crystal structures, medical-device review, and human clinical/use evidence.	E5	Yes; fasta_downloads/JINBO_TEV_rhCollagenIII_16x_486aa.fasta	6A0A; 6A0C (related functional-region structures; not full 480-490 aa structures)	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	High for patent experiments, PDB entries, and registrations; medium for commercial-construct mapping
JINBO_rhCollagenIII_16x_plus_tail_490aa.fasta	JINBO_rhCollagenIII_16x_plus_tail_490aa	490	US11396537B2 / US20200165319A1	Shanxi Jinbo Bio-Pharmaceutical Co., Ltd.	Recombinant humanized type III collagen containing 16 repeats of a 30-aa COL3A1 functional region	Related platform products include recombinant type III humanized collagen lyophilized fibers, injectable gels, and repair devices.	Platform-linked applications: injectable lyophilized-fiber dermal filler for facial wrinkles; injectable gel for mid-face volume/contour correction; wound/skin-repair solution or dressing. Exact 16-repeat construct-to-product mapping is not publicly confirmed.	Yes for related platform/products: NMPA registrations 20213130488 and 20253130751. Whether each commercial product uses the exact listed variant requires manufacturer batch documentation.	SDS-PAGE, mass spectrometry, yield/purity, endotoxin, six-month aqueous stability, cell adhesion, related crystal structures, medical-device review, and human clinical/use evidence.	E5	Yes; fasta_downloads/JINBO_rhCollagenIII_16x_plus_tail_490aa.fasta	6A0A; 6A0C (related functional-region structures; not full 480-490 aa structures)	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	High for patent experiments, PDB entries, and registrations; medium for commercial-construct mapping
COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa.fasta	COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa	225	CN115521372A/B	Collagen (Wuhan) Biotechnology Co., Ltd.	TRHCIII-1, a 225-aa triple-helix-like recombinant human type III collagen	Candidate self-assembling collagen fiber/hydrogel for wound repair and tissue engineering. No registered product explicitly tied to SEQ ID NO:1 was verified.	Patent-proposed: self-assembling collagen fibers or hydrogels for wound dressings, tissue repair and tissue-engineering scaffolds; no verified sequence-specific commercial product.	No corresponding market authorization identifier verified.	Circular dichroism near 225 nm, thermal transition, SEM fiber morphology, and PBS-triggered self-assembly in cell-free experiments.	E1	Yes; fasta_downloads/COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa.fasta	No public PDB/CIF entry found for the exact 225-aa construct	https://patents.google.com/patent/CN115521372B/en		High for patent experiments; medium for the regulatory search
TRAUTEC_COL17_170801_SEQID2_233aa.fasta	TRAUTEC_COL17_170801_SEQID2_233aa	233	US11787852B2 / CN113185604A/B / WO2022237224	Jiangsu Trautec Medical Technology Co., Ltd.	Recombinant human type XVII collagen fragments 170801/170802	Recombinant collagen lyophilized fiber (Kefuyan; CJ-XVII models) for non-chronic wounds and post-aesthetic-procedure wound care.	Patent-proposed: scar/wound healing, dermal tissue repair, hair-follicle repair and hair-growth/scalp-care products; the related marketed platform includes sterile post-procedure wound-care lyophilized fiber. Exact construct-to-product mapping is unconfirmed.	Yes: China Class II medical device, registration 20232141168. Public materials do not map every registered formulation to every patent sequence variant.	Patent expression/purification and cell-related functional tests. The registered sterile single-use product has entered human use for its specified wound-care indication.	E5	Yes; fasta_downloads/TRAUTEC_COL17_170801_SEQID2_233aa.fasta	No public PDB/CIF entry found for exact 170801/170802 constructs	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	High for product registration; medium for sequence mapping
TRAUTEC_COL17_170802_SEQID3_466aa.fasta	TRAUTEC_COL17_170802_SEQID3_466aa	466	US11787852B2 / CN113185604A/B / WO2022237224	Jiangsu Trautec Medical Technology Co., Ltd.	Recombinant human type XVII collagen fragments 170801/170802	Recombinant collagen lyophilized fiber (Kefuyan; CJ-XVII models) for non-chronic wounds and post-aesthetic-procedure wound care.	Patent-proposed: scar/wound healing, dermal tissue repair, hair-follicle repair and hair-growth/scalp-care products; the related marketed platform includes sterile post-procedure wound-care lyophilized fiber. Exact construct-to-product mapping is unconfirmed.	Yes: China Class II medical device, registration 20232141168. Public materials do not map every registered formulation to every patent sequence variant.	Patent expression/purification and cell-related functional tests. The registered sterile single-use product has entered human use for its specified wound-care indication.	E5	Yes; fasta_downloads/TRAUTEC_COL17_170802_SEQID3_466aa.fasta	No public PDB/CIF entry found for exact 170801/170802 constructs	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	High for product registration; medium for sequence mapping
TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa.fasta	TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa	249	US11787852B2 / CN113185604A/B / WO2022237224	Jiangsu Trautec Medical Technology Co., Ltd.	Recombinant human type XVII collagen fragments 170801/170802	Recombinant collagen lyophilized fiber (Kefuyan; CJ-XVII models) for non-chronic wounds and post-aesthetic-procedure wound care.	Patent-proposed: scar/wound healing, dermal tissue repair, hair-follicle repair and hair-growth/scalp-care products; the related marketed platform includes sterile post-procedure wound-care lyophilized fiber. Exact construct-to-product mapping is unconfirmed.	Yes: China Class II medical device, registration 20232141168. Public materials do not map every registered formulation to every patent sequence variant.	Patent expression/purification and cell-related functional tests. The registered sterile single-use product has entered human use for its specified wound-care indication.	E5	Yes; fasta_downloads/TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa.fasta	No public PDB/CIF entry found for exact 170801/170802 constructs	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	High for product registration; medium for sequence mapping
YUSONG_SF4_SEQID1_62aa.fasta	YUSONG_SF4_SEQID1_62aa	62	CN121108286A	Shanghai Yusong Biotechnology Co., Ltd.	Short recombinant silk fibroin-derived proteins SF-4/SF-10	Cosmetic ingredients or skin-care formulation candidates.	Patent-proposed topical cosmetics: anti-aging/anti-wrinkle, skin-repair products including acne-scar, sunburn or post-procedure repair, and anti-inflammatory/sensitive-skin products; also wound-healing and tissue-repair materials.	Published patent application; no regulatory identifier explicitly corresponding to the two sequences was verified. Cosmetic filing is not drug/device approval.	Patent-reported cell and skin-function experiments; no strong evidence of load-bearing silk material formation.	E2	Yes; fasta_downloads/YUSONG_SF4_SEQID1_62aa.fasta	No public PDB/CIF entry found for exact SF-4/SF-10 constructs	https://patents.google.com/patent/CN121108286A/en		Medium
