threshold,tp,fp,tn,fn,sensitivity,specificity,precision,npv,accuracy,f1,mcc,balanced_accuracy
0.0,50000,50000,0,0,1.0,0.0,0.5,nan,0.5,0.6666666666666666,nan,0.5
0.025,50000,43013,6987,0,1.0,0.13974,0.5375592659090664,1.0,0.56987,0.699237132288673,0.27407760181768404,0.56987
0.05,50000,38673,11327,0,1.0,0.22654,0.5638694980433728,1.0,0.61327,0.7211209103430373,0.3574059262054082,0.61327
0.07500000000000001,50000,34917,15083,0,1.0,0.30166,0.5888102500088321,1.0,0.65083,0.7411964392923056,0.42145047160688326,0.65083
0.1,50000,31977,18023,0,1.0,0.36046,0.6099271746953414,1.0,0.68023,0.7577077824166332,0.46888628620453676,0.68023
0.125,50000,29319,20681,0,1.0,0.41362,0.6303659904940808,1.0,0.70681,0.773281575019912,0.5106192132971121,0.7068099999999999
0.15000000000000002,50000,26862,23138,0,1.0,0.46276,0.6505165101090266,1.0,0.73138,0.7882581072346329,0.5486647612322603,0.73138
0.17500000000000002,50000,24544,25456,0,1.0,0.50912,0.6707447950203906,1.0,0.75456,0.8029290853031861,0.5843711064390344,0.75456
0.2,50000,22411,27589,0,1.0,0.55178,0.6905028241565508,1.0,0.77589,0.8169200480348988,0.6172565498341039,0.77589
0.225,50000,20310,29690,0,1.0,0.5938,0.7111363959607453,1.0,0.7969,0.831186102568365,0.6498252010513985,0.7968999999999999
0.25,50000,18301,31699,0,1.0,0.63398,0.7320537034596858,1.0,0.81699,0.845301392211393,0.6812542894686033,0.81699
0.275,50000,16336,33664,0,1.0,0.67328,0.7537385431741438,1.0,0.83664,0.8595791500481365,0.7123742600264888,0.83664
0.30000000000000004,50000,14487,35513,0,1.0,0.71026,0.7753500705568565,1.0,0.85513,0.8734616157292968,0.7420917336244305,0.85513
0.325,50000,12733,37267,0,1.0,0.74534,0.7970286770918018,1.0,0.87267,0.8870517062439569,0.7707511622979257,0.8726700000000001
0.35000000000000003,50000,11001,38999,0,1.0,0.77998,0.8196586941197685,1.0,0.88999,0.9008927847496869,0.7995732538295268,0.8899900000000001
0.375,50000,9092,40908,0,1.0,0.81816,0.846138225140459,1.0,0.90908,0.9166575000916658,0.8320315200044515,0.90908
0.4,50000,7116,42884,0,1.0,0.85768,0.8754114433783878,1.0,0.92884,0.9335673475484522,0.86650036743026,0.92884
0.42500000000000004,50000,5292,44708,0,1.0,0.89416,0.9042899515300586,1.0,0.94708,0.9497397713026631,0.8992107111573556,0.9470799999999999
0.45,50000,3481,46519,0,1.0,0.93038,0.9349114638843702,1.0,0.96519,0.9663609744784066,0.932642979799205,0.96519
0.47500000000000003,50000,1527,48473,0,1.0,0.96946,0.9703650513323112,1.0,0.98473,0.9849596659016814,0.9699124201001976,0.98473
0.5,50000,0,50000,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.525,49146,0,50000,854,0.98292,1.0,1.0,0.9832068273882094,0.99146,0.991386440199302,0.9830634032331886,0.99146
0.55,48427,0,50000,1573,0.96854,1.0,1.0,0.9694995443352141,0.98427,0.9840186127790139,0.9690196533974058,0.98427
0.5750000000000001,47705,0,50000,2295,0.9541,1.0,1.0,0.9561143512764126,0.97705,0.9765109257458676,0.9551066445967306,0.97705
0.6000000000000001,46921,0,50000,3079,0.93842,1.0,1.0,0.9419921249458355,0.96921,0.9682318589366598,0.9402043660245738,0.96921
0.625,46146,0,50000,3854,0.92292,1.0,1.0,0.9284361421621421,0.96146,0.9599151290745325,0.9256739622157923,0.96146
0.65,45189,0,50000,4811,0.90378,1.0,1.0,0.912225648136323,0.95189,0.9494584458288248,0.9079930045284744,0.95189
0.675,44289,0,50000,5711,0.88578,1.0,1.0,0.897488826264113,0.94289,0.9394308986201996,0.8916151930783964,0.94289
0.7000000000000001,43382,0,50000,6618,0.86764,1.0,1.0,0.8831113780069942,0.93382,0.9291298108843246,0.8753415082206422,0.93382
0.7250000000000001,42412,0,50000,7588,0.84824,1.0,1.0,0.8682364381468362,0.92412,0.917889451586374,0.8581799789634295,0.92412
0.75,41341,0,50000,8659,0.82682,1.0,1.0,0.8523841183791063,0.91341,0.9052013882046398,0.8395047568407297,0.91341
0.775,40151,0,50000,9849,0.80302,1.0,1.0,0.835435846881318,0.90151,0.8907499639493738,0.8190675758218219,0.90151
0.8,38882,0,50000,11118,0.77764,1.0,1.0,0.8180895971726824,0.88882,0.874912805742445,0.7976084216865847,0.8888199999999999
0.8250000000000001,37438,0,50000,12562,0.74876,1.0,1.0,0.7992071864710207,0.87438,0.8563324870193737,0.7735724742660132,0.8743799999999999
0.8500000000000001,35775,0,50000,14225,0.7155,1.0,1.0,0.7785130400934216,0.85775,0.8341591372777616,0.7463417984990812,0.85775
0.875,33871,0,50000,16129,0.67742,1.0,1.0,0.7560979298038683,0.83871,0.8076927662720129,0.7156786007753315,0.8387100000000001
0.9,31531,0,50000,18469,0.63062,1.0,1.0,0.7302574887905475,0.81531,0.7734726668383805,0.6786125386264942,0.81531
0.925,28755,0,50000,21245,0.5751,1.0,1.0,0.7018036353428311,0.78755,0.7302393498825471,0.6353009292340617,0.78755
0.9500000000000001,24907,0,50000,25093,0.49814,1.0,1.0,0.6658410237971581,0.74907,0.6650112806546785,0.5759184383177156,0.74907
0.9750000000000001,18632,0,50000,31368,0.37264,1.0,1.0,0.6144921836594238,0.68632,0.5429537242102809,0.4785231105378796,0.68632
1.0,80,0,50000,49920,0.0016,1.0,1.0,0.500400320256205,0.5008,0.003194888178913738,0.02829559174871464,0.5008
