length,n,mean_score,epitope_pct
2,1,0.2295,100.00
3,17,0.2031,100.00
4,32,0.2005,87.50
5,44,0.2136,100.00
6,60,0.2308,98.33
7,61,0.2425,100.00
8,452,0.2488,99.78
9,477,0.2487,97.90
10,531,0.2479,98.12
11,955,0.2528,98.43
12,1053,0.2515,98.29
13,788,0.2501,96.57
14,977,0.2492,96.93
15,1213,0.2489,94.72
16,1315,0.2419,93.23
17,1420,0.2460,95.42
18,1335,0.2394,93.18
19,1966,0.2409,94.05
20,49480,0.2308,89.92
21,82440,0.2287,90.85
22,85228,0.2254,90.14
23,87921,0.2241,89.63
24,89356,0.2235,89.13
25,92121,0.2226,88.51
26,93403,0.2215,87.91
27,96854,0.2200,87.10
28,98905,0.2188,86.84
29,111304,0.2161,85.48
30,109282,0.2163,85.58
