peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
195,uniref90,23,0.19896238,Epitope,0.199,0.3012,0.2272
196,uniref90,12,0.2522219,Epitope,0.2522,0.3053,0.2763
197,uniref90,27,0.2509155,Epitope,0.2509,0.3259,0.2709
198,uniref90,16,0.2839213,Epitope,0.2839,0.3707,0.3233
200,uniref90,11,0.2106429,Epitope,0.2106,0.2772,0.2286
201,uniref90,17,0.2555483,Epitope,0.2555,0.3291,0.2888
202,uniref90,21,0.17522928,Epitope,0.1752,0.2684,0.2147
203,uniref90,13,0.27889156,Epitope,0.2789,0.3647,0.3116
204,uniref90,17,0.24511635,Epitope,0.2451,0.3233,0.2728
205,uniref90,25,0.22969016,Epitope,0.2297,0.2943,0.2527
206,uniref90,12,0.22849953,Epitope,0.2285,0.3265,0.2525
208,uniref90,23,0.20654546,Epitope,0.2065,0.3226,0.2322
212,uniref90,25,0.22096165,Epitope,0.221,0.3295,0.26
213,uniref90,27,0.28347936,Epitope,0.2835,0.3569,0.3069
214,uniref90,24,0.25228795,Epitope,0.2523,0.337,0.3037
1108,uniref90,19,0.244137,Epitope,0.2441,0.3508,0.2927
1109,uniref90,21,0.27132428,Epitope,0.2713,0.3493,0.2813
1111,uniref90,25,0.26388222,Epitope,0.2639,0.333,0.2869
1112,uniref90,20,0.23546198,Epitope,0.2355,0.3472,0.2657
1113,uniref90,25,0.18074961,Epitope,0.1807,0.3311,0.234
1114,uniref90,25,0.21972097,Epitope,0.2197,0.2925,0.2656
1115,uniref90,21,0.3325394,Epitope,0.3325,0.3829,0.3581
1116,uniref90,29,0.23566268,Epitope,0.2357,0.3212,0.2667
1117,uniref90,25,0.17131355,Epitope,0.1713,0.33,0.2301
1118,uniref90,14,0.1785628,Epitope,0.1786,0.2494,0.2052
1119,uniref90,21,0.27296475,Epitope,0.273,0.3603,0.3086
1120,uniref90,21,0.23052004,Epitope,0.2305,0.3054,0.2514
1121,uniref90,26,0.18563308,Epitope,0.1856,0.3108,0.2328
1122,uniref90,30,0.16051692,Epitope,0.1605,0.2931,0.207
1123,uniref90,22,0.23602201,Epitope,0.236,0.3369,0.2837
1124,uniref90,11,0.23833309,Epitope,0.2383,0.2885,0.2574
1126,uniref90,29,0.17172857,Epitope,0.1717,0.2514,0.2164
1127,uniref90,12,0.26584584,Epitope,0.2658,0.3391,0.2862
1148,uniref90,11,0.23841071,Epitope,0.2384,0.293,0.2512
1777,uniref90,20,0.2764083,Epitope,0.2764,0.3606,0.3121
1779,uniref90,20,0.25272697,Epitope,0.2527,0.3456,0.2952
1781,uniref90,27,0.30895028,Epitope,0.309,0.3567,0.3291
1782,uniref90,30,0.18233748,Epitope,0.1823,0.3159,0.2355
1784,uniref90,27,0.2483044,Epitope,0.2483,0.3642,0.2875
1785,uniref90,28,0.19354253,Epitope,0.1935,0.3307,0.2242
1786,uniref90,20,0.20759852,Epitope,0.2076,0.2862,0.2369
1787,uniref90,28,0.2762199,Epitope,0.2762,0.3624,0.3087
1788,uniref90,30,0.2823521,Epitope,0.2824,0.3817,0.3318
1789,uniref90,25,0.26436314,Epitope,0.2644,0.3305,0.2834
1790,uniref90,20,0.2595617,Epitope,0.2596,0.3219,0.276
1792,uniref90,24,0.1831882,Epitope,0.1832,0.308,0.2025
1793,uniref90,12,0.2780324,Epitope,0.278,0.3326,0.2981
1794,uniref90,19,0.26514885,Epitope,0.2651,0.3665,0.311
1795,uniref90,23,0.25899237,Epitope,0.259,0.3463,0.2872
1796,uniref90,30,0.24075536,Epitope,0.2408,0.3346,0.2769
2077,uniref90,30,0.21264511,Epitope,0.2126,0.3319,0.2982
2078,uniref90,15,0.3045678,Epitope,0.3046,0.3538,0.3358
2079,uniref90,24,0.15341027,Epitope,0.1534,0.2856,0.1985
2080,uniref90,27,0.23179153,Epitope,0.2318,0.3555,0.2741
2082,uniref90,26,0.1553789,Epitope,0.1554,0.263,0.1959
2083,uniref90,28,0.2633097,Epitope,0.2633,0.3385,0.2856
2084,uniref90,30,0.19778724,Epitope,0.1978,0.2766,0.2284
2085,uniref90,24,0.17745721,Epitope,0.1775,0.2734,0.192
2086,uniref90,30,0.22997124,Epitope,0.23,0.3141,0.2569
2087,uniref90,18,0.27892724,Epitope,0.2789,0.3581,0.328
2088,uniref90,21,0.2753097,Epitope,0.2753,0.3509,0.301
2090,uniref90,29,0.24937122,Epitope,0.2494,0.3388,0.2826
2092,uniref90,30,0.21042895,Epitope,0.2104,0.3111,0.2407
2093,uniref90,21,0.24265869,Epitope,0.2427,0.3234,0.2738
2094,uniref90,16,0.2642274,Epitope,0.2642,0.3524,0.3092
2095,uniref90,28,0.25636938,Epitope,0.2564,0.3474,0.2814
2359,uniref90,30,0.30970174,Epitope,0.3097,0.3847,0.3498
2361,uniref90,30,0.28353718,Epitope,0.2835,0.354,0.3096
2362,uniref90,30,0.2460548,Epitope,0.2461,0.3238,0.2743
2363,uniref90,30,0.1981209,Epitope,0.1981,0.3031,0.2484
2364,uniref90,30,0.26921356,Epitope,0.2692,0.3671,0.303
2365,uniref90,30,0.2734024,Epitope,0.2734,0.3542,0.3069
2366,uniref90,30,0.26873112,Epitope,0.2687,0.365,0.295
2367,uniref90,30,0.20428036,Epitope,0.2043,0.2702,0.2202
2370,uniref90,30,0.23938139,Epitope,0.2394,0.3538,0.3116
2371,uniref90,30,0.21793577,Epitope,0.2179,0.3265,0.2584
2372,uniref90,30,0.27959988,Epitope,0.2796,0.3426,0.3047
2373,uniref90,30,0.1784909,Epitope,0.1785,0.27,0.2108
2374,uniref90,30,0.31680462,Epitope,0.3168,0.3785,0.3538
2375,uniref90,30,0.28127658,Epitope,0.2813,0.3881,0.3154
2376,uniref90,30,0.24985768,Epitope,0.2499,0.3572,0.2797
2377,uniref90,30,0.2562724,Epitope,0.2563,0.3354,0.2842
2378,uniref90,30,0.25285715,Epitope,0.2529,0.3405,0.2917
2379,uniref90,30,0.26484698,Epitope,0.2648,0.3442,0.2951
2380,uniref90,30,0.28420773,Epitope,0.2842,0.3763,0.3203
2381,uniref90,30,0.25872663,Epitope,0.2587,0.3632,0.2826
2382,uniref90,30,0.31064135,Epitope,0.3106,0.3901,0.3393
2383,uniref90,30,0.27172783,Epitope,0.2717,0.363,0.3009
2384,uniref90,30,0.26619443,Epitope,0.2662,0.373,0.2913
2385,uniref90,30,0.2543298,Epitope,0.2543,0.3478,0.279
2386,uniref90,30,0.25880495,Epitope,0.2588,0.3545,0.2851
2387,uniref90,30,0.263504,Epitope,0.2635,0.3472,0.2945
2388,uniref90,30,0.28871754,Epitope,0.2887,0.372,0.3193
2389,uniref90,30,0.26693878,Epitope,0.2669,0.3626,0.2989
2390,uniref90,30,0.27574793,Epitope,0.2757,0.384,0.3229
2391,uniref90,30,0.15812564,Epitope,0.1581,0.3057,0.1849
2392,uniref90,30,0.2703407,Epitope,0.2703,0.3675,0.2983
2393,uniref90,30,0.27047643,Epitope,0.2705,0.3678,0.3009
2394,uniref90,30,0.2651938,Epitope,0.2652,0.3649,0.3022
2395,uniref90,30,0.25504345,Epitope,0.255,0.369,0.2933
2396,uniref90,30,0.2538499,Epitope,0.2538,0.3317,0.2802
2397,uniref90,30,0.15569493,Epitope,0.1557,0.3111,0.2652
