tool,config,n_pos,n_neg,pos_mean,neg_mean,pos_median,neg_median,pos_std,neg_std,cohen_d,abs_d,strength,note
algpred2,Allergen vs Non-Allergen,69908,130092,0.3601,0.2242,0.346,0.231,0.0551,0.0506,2.6058,2.6058,极强,
anoxpepred,Antioxidant vs Non-antioxidant,88,199912,0.5237,0.2964,0.517,0.2927,0.0233,0.0524,4.3382,4.3382,极强,
hemopi2,Hemolytic vs Non-Hemolytic,89662,110338,0.6562,0.3455,0.6586,0.33,0.0576,0.1162,3.2852,3.2852,极强,
plm4cpps,CPP vs non-CPP,6958,193042,0.4545,0.0066,0.2813,0.0003,0.3181,0.0192,7.1932,7.1932,极强,
sodope,Insoluble vs Soluble,98651,101349,0.2045,0.7888,0.1807,0.8082,0.1515,0.1475,-3.9097,3.9097,极强,
tipred,non-TIP vs TIP,982,199018,0.289,0.9215,0.2975,0.9275,0.1452,0.0399,-15.3787,15.3787,极强,tipred 阳性=non-TIP(score 低)
toxinpred3,Toxin vs Non-Toxin,24501,175499,0.4707,0.2056,0.445,0.195,0.0884,0.0798,3.2758,3.2758,极强,
amp-esm,AMP vs non-AMP,19065,180935,0.6427,0.1018,0.6281,0.0269,0.0966,0.1343,4.1224,4.1224,极强,
mhcflurry,Strong Binder vs Non-Binder,529,133422,0.7474,0.0022,0.7724,0.0,0.1138,0.0189,36.9744,36.9744,极强,
mhcflurry,Weak Binder vs Non-Binder,937,133422,0.3198,0.0022,0.3508,0.0,0.1441,0.0189,14.224,14.224,极强,
