length,rows,pct,cumulative_pct
3,357,0.0018,0.0018
4,497,0.0025,0.0042
5,652,0.0032,0.0074
6,978,0.0048,0.0123
7,1177,0.0058,0.0181
8,8498,0.042,0.06
9,10271,0.0507,0.1108
10,10881,0.0537,0.1645
11,17788,0.0878,0.2524
12,19980,0.0987,0.351
13,19701,0.0973,0.4483
14,20932,0.1034,0.5517
15,24030,0.1187,0.6704
16,26035,0.1286,0.7989
17,27812,0.1374,0.9363
18,29671,0.1465,1.0828
19,34257,0.1692,1.252
20,990513,4.8917,6.1437
21,1646444,8.1311,14.2748
22,1708862,8.4393,22.7141
23,1758968,8.6868,31.4009
24,1804506,8.9117,40.3125
25,1838703,9.0805,49.3931
26,1890131,9.3345,58.7276
27,1942447,9.5929,68.3205
28,1977641,9.7667,78.0872
29,2240568,11.0652,89.1523
30,2196522,10.8477,100.0
