allele,family,n,n_sb,n_wb,sb_pct,mean_rank,median_rank,mean_score
DRB1_0101,DRB1,1921132,70697,1850435,3.6800,5.3197,5.2900,0.313650
DRB1_0301,DRB1,2493231,195130,2298101,7.8264,5.1689,5.2300,0.287958
DRB1_0401,DRB1,1929159,112314,1816845,5.8219,5.4805,5.6300,0.314770
DRB1_0402,DRB1,2004272,127347,1876925,6.3538,5.4143,5.5800,0.307973
DRB1_0403,DRB1,1927032,111665,1815367,5.7947,5.5195,5.6700,0.363507
DRB1_0404,DRB1,1848443,101342,1747101,5.4826,5.4960,5.6300,0.371806
DRB1_0405,DRB1,1880109,117943,1762166,6.2732,5.4298,5.5600,0.308943
DRB1_0407,DRB1,2034961,119788,1915173,5.8865,5.4624,5.6000,0.333645
DRB1_0408,DRB1,1888675,96800,1791875,5.1253,5.5677,5.7100,0.342616
DRB1_0410,DRB1,1713297,101027,1612270,5.8966,5.5044,5.6800,0.297421
DRB1_0411,DRB1,1776549,114051,1662498,6.4198,5.2709,5.3200,0.315720
DRB1_0412,DRB1,1625222,82943,1542279,5.1035,5.6589,5.8200,0.303291
DRB1_0413,DRB1,1866353,112726,1753627,6.0399,5.4515,5.6000,0.341421
DRB1_0414,DRB1,2065255,113515,1951740,5.4964,5.5698,5.7900,0.250317
DRB1_0415,DRB1,1584502,69983,1514519,4.4167,5.6682,5.8500,0.172224
DRB1_0416,DRB1,1929159,112314,1816845,5.8219,5.4805,5.6300,0.314770
DRB1_0417,DRB1,1961683,130279,1831404,6.6412,5.2629,5.3000,0.309410
DRB1_0421,DRB1,1929159,112314,1816845,5.8219,5.4805,5.6300,0.314770
DRB1_0422,DRB1,2054034,147769,1906265,7.1941,5.2777,5.3600,0.226410
DRB1_0701,DRB1,1216287,65593,1150694,5.3929,5.5903,5.7700,0.283365
DRB1_0801,DRB1,1588107,95017,1493090,5.9830,5.4328,5.5900,0.405369
DRB1_0802,DRB1,1706620,84276,1622344,4.9382,5.6076,5.8000,0.299811
DRB1_0803,DRB1,1404263,92838,1311425,6.6112,5.4274,5.6200,0.365558
DRB1_0804,DRB1,1689889,96733,1593156,5.7242,5.5286,5.7100,0.357701
DRB1_0901,DRB1,848571,28232,820339,3.3270,5.9077,6.1600,0.350107
DRB1_1001,DRB1,1752831,75140,1677691,4.2868,5.7038,5.8800,0.339133
DRB1_1101,DRB1,2049733,121594,1928139,5.9322,5.4051,5.5100,0.367487
DRB1_1102,DRB1,2173476,115785,2057691,5.3272,5.4198,5.5200,0.387935
DRB1_1103,DRB1,2188053,118657,2069396,5.4229,5.4379,5.5700,0.308819
DRB1_1104,DRB1,1945766,120983,1824783,6.2178,5.3494,5.4600,0.390639
DRB1_1201,DRB1,1534308,97474,1436834,6.3530,5.4396,5.5800,0.269790
DRB1_1202,DRB1,1467981,85042,1382939,5.7931,5.5027,5.6600,0.343191
DRB1_1301,DRB1,2173476,115785,2057691,5.3272,5.4198,5.5200,0.387935
DRB1_1302,DRB1,1980725,101184,1879541,5.1084,5.4823,5.6300,0.267988
DRB1_1303,DRB1,1852686,151436,1701250,8.1739,5.2852,5.3800,0.357594
DRB1_1304,DRB1,1820245,90013,1730232,4.9451,5.5848,5.7600,0.358786
DRB1_1305,DRB1,2049733,121594,1928139,5.9322,5.4051,5.5100,0.367487
DRB1_1401,DRB1,1466673,84751,1381922,5.7785,5.4970,5.6700,0.343052
DRB1_1402,DRB1,1407070,53401,1353669,3.7952,5.9480,6.2600,0.285925
DRB1_1403,DRB1,1492703,66209,1426494,4.4355,5.7887,6.0600,0.343908
DRB1_1404,DRB1,1314607,69730,1244877,5.3042,5.5948,5.8100,0.315079
DRB1_1405,DRB1,1752116,97467,1654649,5.5628,5.5214,5.7000,0.307397
DRB1_1406,DRB1,1464295,52241,1412054,3.5677,5.8705,6.1500,0.339973
DRB1_1407,DRB1,1400604,68003,1332601,4.8553,5.6226,5.8100,0.256675
DRB1_1501,DRB1,2144139,167436,1976703,7.8090,5.1936,5.2500,0.283808
DRB1_1502,DRB1,2219908,154235,2065673,6.9478,5.3624,5.4600,0.298796
DRB1_1503,DRB1,1882369,125781,1756588,6.6821,5.3899,5.5800,0.312199
DRB1_1601,DRB1,2147135,99172,2047963,4.6188,5.4993,5.5500,0.239641
DRB1_1602,DRB1,2217058,112086,2104972,5.0556,5.5473,5.6700,0.282691
DRB3_0101,DRB3/4/5,1768241,112312,1655929,6.3516,5.2943,5.3300,0.110533
DRB3_0201,DRB3/4/5,1875489,149699,1725790,7.9819,5.2914,5.3800,0.127549
DRB3_0202,DRB3/4/5,2040067,173973,1866094,8.5278,5.0798,5.1000,0.152327
DRB3_0301,DRB3/4/5,1905412,142035,1763377,7.4543,5.1798,5.1900,0.298359
DRB4_0101,DRB3/4/5,1359461,113051,1246410,8.3159,5.1931,5.3000,0.122082
DRB4_0103,DRB3/4/5,1359461,113051,1246410,8.3159,5.1931,5.3000,0.122082
DRB5_0101,DRB3/4/5,2275422,138353,2137069,6.0803,5.3801,5.5000,0.240827
DRB5_0202,DRB3/4/5,1771065,113160,1657905,6.3894,5.3476,5.4500,0.268773
HLA-DPA10103-DPB10101,HLA-DP,535133,25958,509175,4.8508,5.6380,5.8100,0.185984
HLA-DPA10103-DPB10201,HLA-DP,1190012,73929,1116083,6.2125,5.2536,5.2500,0.171049
HLA-DPA10103-DPB10202,HLA-DP,1043439,63409,980030,6.0769,5.3045,5.3900,0.205158
HLA-DPA10103-DPB10301,HLA-DP,1188899,79290,1109609,6.6692,5.2995,5.3500,0.233227
HLA-DPA10103-DPB10401,HLA-DP,858992,46588,812404,5.4236,5.3213,5.3500,0.113189
HLA-DPA10103-DPB10402,HLA-DP,1066395,52982,1013413,4.9683,5.4417,5.4900,0.154052
HLA-DPA10103-DPB10501,HLA-DP,589003,22485,566518,3.8175,5.7547,5.9600,0.143471
HLA-DPA10103-DPB10601,HLA-DP,1136327,71972,1064355,6.3337,5.3700,5.4600,0.240030
HLA-DPA10103-DPB10801,HLA-DP,744924,30384,714540,4.0788,5.7735,6.0000,0.137007
HLA-DPA10103-DPB10901,HLA-DP,921676,49971,871705,5.4218,5.4837,5.6300,0.187831
HLA-DPA10103-DPB11001,HLA-DP,921676,49971,871705,5.4218,5.4837,5.6300,0.187831
HLA-DPA10103-DPB11101,HLA-DP,773627,57471,716156,7.4288,5.3179,5.4100,0.150216
HLA-DPA10103-DPB11301,HLA-DP,800385,52828,747557,6.6003,5.3939,5.5000,0.150430
HLA-DPA10103-DPB11401,HLA-DP,981460,65022,916438,6.6250,5.3569,5.4600,0.195020
HLA-DPA10103-DPB11501,HLA-DP,558135,14694,543441,2.6327,5.8968,6.0800,0.224969
HLA-DPA10103-DPB11701,HLA-DP,951443,51581,899862,5.4213,5.4748,5.6200,0.235069
HLA-DPA10103-DPB11901,HLA-DP,596873,19504,577369,3.2677,5.9425,6.2100,0.120286
HLA-DPA10201-DPB10101,HLA-DP,674731,27350,647381,4.0535,5.4785,5.5100,0.239529
HLA-DPA10201-DPB10201,HLA-DP,622227,45526,576701,7.3166,5.2747,5.3500,0.092450
HLA-DPA10201-DPB10301,HLA-DP,703851,20825,683026,2.9587,6.0153,6.2900,0.208458
HLA-DPA10201-DPB10401,HLA-DP,480624,34467,446157,7.1713,5.2276,5.2700,0.067998
HLA-DPA10201-DPB10402,HLA-DP,515801,34398,481403,6.6689,5.3697,5.4800,0.073647
HLA-DPA10201-DPB10501,HLA-DP,594968,7133,587835,1.1989,6.3808,6.6600,0.201652
HLA-DPA10201-DPB10601,HLA-DP,681817,23873,657944,3.5014,5.9578,6.2800,0.247794
HLA-DPA10201-DPB10801,HLA-DP,611115,15861,595254,2.5954,6.1236,6.4500,0.122219
HLA-DPA10201-DPB10901,HLA-DP,817625,26534,791091,3.2453,5.8418,6.0400,0.242759
HLA-DPA10201-DPB11001,HLA-DP,817625,26534,791091,3.2453,5.8418,6.0400,0.242759
HLA-DPA10201-DPB11101,HLA-DP,789020,36139,752881,4.5802,5.5008,5.5900,0.237716
HLA-DPA10201-DPB11301,HLA-DP,857479,34721,822758,4.0492,5.5212,5.6200,0.237187
HLA-DPA10201-DPB11401,HLA-DP,819257,25504,793753,3.1131,5.8452,6.0500,0.258204
HLA-DPA10201-DPB11501,HLA-DP,403957,10884,393073,2.6943,6.0263,6.3100,0.132443
HLA-DPA10201-DPB11701,HLA-DP,858495,29238,829257,3.4057,5.8690,6.1300,0.301453
HLA-DPA10201-DPB11901,HLA-DP,503220,6156,497064,1.2233,6.5021,6.8600,0.156035
HLA-DPA10301-DPB10101,HLA-DP,233741,6092,227649,2.6063,5.9720,6.2000,0.134059
