length,n,mean,median,p25,p75,p95,p99
1,2,9.139578469330445e-05,9.139578469330445e-05,8.242572948802263e-05,0.00010036583989858627,0.00010754188406281173,0.00010897709289565682
2,61,0.015702953968177665,0.00045579447760246694,0.00015008635818958282,0.0032613531220704317,0.11879793554544449,0.24598306715488433
3,357,0.10146760584582411,0.0065758610144257545,0.0009542261832393706,0.060727909207344055,0.7553716897964478,0.9721049666404724
4,497,0.0826842988633256,0.0074966466054320335,0.0014220577431842685,0.054845891892910004,0.4300666511058806,0.9795990276336674
5,652,0.08074175143387724,0.0083893658593297,0.0015847787726670504,0.05379097443073988,0.5211712121963501,0.9613535255193711
6,978,0.08304751178618905,0.0059298244304955006,0.0011075297661591321,0.04332464840263128,0.6088596165180199,0.9999883109331131
7,1177,0.07012558258807025,0.007879125885665417,0.0009303050464950502,0.041049160063266754,0.4099472045898441,0.9990684986114502
8,8498,0.05636834721245892,0.0047029051929712296,0.0006746350700268522,0.0336997676640749,0.2678162753582001,0.973720133304596
9,10271,0.05968560334773582,0.005388348363339901,0.0007579550438094884,0.039531249552965164,0.27207379043102264,0.997628605365753
10,10881,0.058226287359926694,0.004925973247736692,0.0006174218724481761,0.03893127664923668,0.281850129365921,0.9468513965606704
11,17788,0.05262771303077443,0.004074516240507364,0.0004939934151479974,0.03004051512107253,0.2574920058250427,0.9462077176570892
12,19980,0.05024372572101122,0.003141814493574202,0.00038078767829574645,0.024711159989237785,0.2493782319128513,0.948162636160849
13,19701,0.05153292326674644,0.0025020751636475325,0.0002963583101518452,0.02328800968825817,0.2545498311519623,0.9643843770027161
14,20932,0.05041681730530169,0.002237619599327445,0.00025137366174021736,0.020698450971394777,0.2503686547279358,0.9699442386627197
15,24030,0.045573114557484744,0.001698937441688031,0.00018734540208242834,0.015318963443860412,0.24152907729148865,0.9471421837806702
16,26035,0.041844183636700394,0.0012142902705818415,0.00012506036728154868,0.011810572817921638,0.2212099760770797,0.9385933876037598
17,27812,0.03830512726764928,0.0010664184810593724,0.00011978661677858327,0.010680592153221369,0.20538210123777342,0.926206726431846
18,29671,0.03917877241235236,0.0009368249448016286,0.00010852470950339921,0.009566552937030792,0.21332980692386627,0.9451090931892391
19,34257,0.03578417076544554,0.0007281771395355463,8.392886957153678e-05,0.0076696258038282394,0.1985753804445265,0.8625103521347056
20,990513,0.024161158031257395,0.000579133746214211,5.722692731069401e-05,0.005988363176584244,0.12953218817710815,0.4630297923088075
21,1646444,0.02413830602482728,0.0004855189908994362,4.664656808017753e-05,0.005182968801818788,0.1201967231929299,0.5633766782283823
22,1708862,0.02337695467908578,0.00042724319791886955,4.1515011616866104e-05,0.004462483222596347,0.11022333055734629,0.5970496147870965
23,1758968,0.022486595784259055,0.0003864907776005566,3.7970245102769695e-05,0.003964577801525593,0.10088638551533217,0.6013070344924927
24,1804506,0.022236945165783582,0.00035906890116166323,3.5962862966698594e-05,0.0036178817390464246,0.09544705785810947,0.6332222998142217
25,1838703,0.02138960926787901,0.00033022326533682644,3.3270480344071984e-05,0.0032604216830804944,0.08759280294179912,0.6182079768180844
26,1890131,0.02083313272807128,0.00030642037745565176,3.0638082535006106e-05,0.0030242481734603643,0.08256198093295097,0.6139925956726066
27,1942447,0.02023901644188083,0.0002923478605225682,2.9399805498542264e-05,0.0028301322599872947,0.07617797255516053,0.6107438051700642
28,1977641,0.019886135222398477,0.0002717604802455753,2.740946365520358e-05,0.0026044335681945086,0.07132111489772797,0.6216974377632145
29,2240568,0.019692432323219176,0.0002671545371413231,2.7196809696761193e-05,0.002494832267984748,0.06625599972903705,0.6442725765705151
30,2196522,0.019161758190117784,0.0002591513330116868,2.7019065782951657e-05,0.002382839098572731,0.06208034120500079,0.6271870160102846
