length,n,mean,std,p10,p50,p90
1,2,0.496513,0.496513,0.099303,0.496513,0.893723
2,61,0.37341,0.4489,9.5e-05,0.021836,0.991409
3,357,0.539841,0.440844,0.00011,0.693308,0.99971
4,497,0.420095,0.415278,0.000197,0.201769,0.993025
5,652,0.396207,0.404133,0.001143,0.212396,0.988643
6,978,0.440169,0.39751,0.003807,0.342003,0.98254
7,1177,0.422616,0.401551,0.00227,0.283564,0.986497
8,8498,0.378151,0.374728,0.003019,0.221698,0.966032
9,10271,0.376652,0.368086,0.003399,0.232495,0.958122
10,10881,0.381766,0.36876,0.003299,0.240717,0.958276
11,17788,0.366487,0.357168,0.004821,0.227354,0.9416
12,19980,0.361381,0.352757,0.00528,0.220105,0.937453
13,19701,0.366549,0.352032,0.005707,0.235116,0.933807
14,20932,0.365047,0.348024,0.005556,0.239591,0.927061
15,24030,0.37859,0.350738,0.006409,0.262572,0.929307
16,26035,0.360921,0.344814,0.006516,0.232888,0.915216
17,27812,0.363784,0.34203,0.007686,0.247826,0.913181
18,29671,0.361644,0.339715,0.007769,0.24717,0.910149
19,34257,0.384266,0.344875,0.009489,0.283388,0.922491
20,990513,0.439157,0.330419,0.027177,0.400696,0.919461
21,1646444,0.513743,0.337455,0.044094,0.531783,0.956689
22,1708862,0.513204,0.334844,0.046378,0.530677,0.953759
23,1758968,0.512911,0.332514,0.048621,0.530338,0.950918
24,1804506,0.511756,0.330182,0.05051,0.528575,0.947968
25,1838703,0.510648,0.328016,0.052073,0.52652,0.945102
26,1890131,0.508713,0.326058,0.053471,0.522958,0.942129
27,1942447,0.505889,0.323459,0.054979,0.518292,0.937801
28,1977641,0.504968,0.321535,0.05677,0.516865,0.935279
29,2240568,0.498316,0.322579,0.052849,0.506509,0.933485
30,2196522,0.492633,0.320071,0.053338,0.496886,0.927884
