length,n,mean,median,p25,p75,p95,p99
1,2,0.7451534867286682,0.7451534867286682,0.743146538734436,0.7471604347229004,0.7487659931182862,0.7490871047973633
2,61,0.7388420545908271,0.8900996446609497,0.5922375917434692,0.9215774536132812,0.9532284140586853,0.9544264078140259
3,357,0.748907046053423,0.8960010409355164,0.6010029315948486,0.9338504076004028,0.9546148180961609,0.9634844970703125
4,497,0.8180375021303323,0.9269058108329773,0.8629233837127686,0.9388002157211304,0.9613630175590515,0.9661894583702089
5,652,0.8525558132421157,0.9304798543453217,0.9002406597137451,0.9439494609832764,0.9577865362167358,0.9718947046995163
6,978,0.8350492906747177,0.9163615703582764,0.8748743534088135,0.9306961745023727,0.9489791989326477,0.9629627960920334
7,1177,0.8460493396616326,0.9215632081031799,0.8924799561500549,0.9347286224365234,0.9490771293640137,0.9591855931282044
8,8498,0.8659546261017226,0.9252864122390747,0.904205858707428,0.9371917843818665,0.9532140254974365,0.9612236231565476
9,10271,0.8799065714193324,0.92767333984375,0.9126061797142029,0.9385493695735931,0.9519570767879486,0.9607537329196929
10,10881,0.8933007036720159,0.9284494519233704,0.9154516458511353,0.9381920695304871,0.9515259861946106,0.9602720737457275
11,17788,0.9007573293830696,0.9307796359062195,0.9191204756498337,0.9397310614585876,0.952340841293335,0.9603775781393051
12,19980,0.8947417775122403,0.9237405359745026,0.9106284379959106,0.9320279359817505,0.9440082311630249,0.9533796310424805
13,19701,0.9006394475413321,0.9254682064056396,0.913943886756897,0.9332191944122314,0.9440064430236816,0.9527330994606018
14,20932,0.9064173522241059,0.9266467690467834,0.9165681600570679,0.9339356571435928,0.9447801113128662,0.953439382314682
15,24030,0.9095465192708481,0.9279276728630066,0.9183408617973328,0.9349886178970337,0.9457558959722518,0.953377600312233
16,26035,0.9106382053542188,0.9289401173591614,0.9194666147232056,0.9354826807975769,0.9454054057598114,0.9522557258605957
17,27812,0.9155734219621424,0.9299317598342896,0.9214586019515991,0.9362493753433228,0.9463257193565369,0.9533554315567017
18,29671,0.9100094200544614,0.9251520037651062,0.9164648354053497,0.9314152896404266,0.9407230615615845,0.9478757977485657
19,34257,0.9124723202610499,0.9257210493087769,0.9174955487251282,0.9316878318786621,0.9407963156700134,0.9485060572624207
20,990513,0.9125866909035575,0.9258219599723816,0.9178223609924316,0.9315263628959656,0.9405856609344483,0.9489248776435852
21,1646444,0.9122787477386075,0.9256971180438995,0.9176665544509888,0.9315612316131592,0.9409221321344375,0.9486706936359406
22,1708862,0.9151404661952689,0.9269956648349762,0.9192090928554535,0.9328286051750183,0.9424211382865906,0.9497520196437835
23,1758968,0.9178038767552532,0.928234875202179,0.9207442402839661,0.9340412020683289,0.9437882095575333,0.9508340156078339
24,1804506,0.9147574184000831,0.925158679485321,0.9175859093666077,0.931168258190155,0.939991220831871,0.9480180621147156
25,1838703,0.9169405506203667,0.926296055316925,0.9188465476036072,0.9322685599327087,0.9413195788860321,0.9490861296653748
26,1890131,0.9189505326689601,0.9274008274078369,0.9201474487781525,0.9333301782608032,0.9424559473991394,0.950034898519516
27,1942447,0.9207371984235624,0.9283185005187988,0.9211510419845581,0.9342289566993713,0.9435421228408813,0.9510597956180573
28,1977641,0.9223431040946233,0.9292091131210327,0.9222307205200195,0.9351242184638977,0.9443632364273071,0.9515903353691101
29,2240568,0.9235822179071435,0.9299001097679138,0.9230734705924988,0.9358589053153992,0.9451127052307129,0.9521995580196381
30,2196522,0.9206326263490857,0.9271190762519836,0.9199520349502563,0.9332193732261658,0.9420028299093246,0.9491535300016403
