peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
506,uniref90,20,0.15094708,Non-epitope,0.1509,0.2614,0.2074
507,uniref90,30,0.11450004,Non-epitope,0.1145,0.2425,0.1743
508,uniref90,19,0.112174034,Non-epitope,0.1122,0.2637,0.1384
516,uniref90,30,0.14677535,Non-epitope,0.1468,0.2943,0.2065
1310,uniref90,30,0.12767763,Non-epitope,0.1277,0.2549,0.1897
1319,uniref90,30,0.07595633,Non-epitope,0.076,0.1895,0.1243
1586,uniref90,17,0.15095153,Non-epitope,0.151,0.2969,0.2278
1591,uniref90,22,0.13882606,Non-epitope,0.1388,0.2689,0.1669
1593,uniref90,28,0.15108201,Non-epitope,0.1511,0.2383,0.1883
1957,uniref90,23,0.13642259,Non-epitope,0.1364,0.2359,0.1831
1960,uniref90,29,0.09752825,Non-epitope,0.0975,0.2328,0.159
1965,uniref90,26,0.14619924,Non-epitope,0.1462,0.2332,0.1806
1966,uniref90,24,0.085912704,Non-epitope,0.0859,0.1302,0.093
1967,uniref90,26,0.11306881,Non-epitope,0.1131,0.2013,0.1192
1968,uniref90,16,0.14665169,Non-epitope,0.1467,0.2109,0.1738
1971,uniref90,14,0.11799059,Non-epitope,0.118,0.2381,0.1307
1974,uniref90,13,0.10509023,Non-epitope,0.1051,0.1761,0.1171
2178,uniref90,30,0.11645305,Non-epitope,0.1165,0.2673,0.1948
2180,uniref90,30,0.12958819,Non-epitope,0.1296,0.2919,0.2022
2181,uniref90,30,0.10188111,Non-epitope,0.1019,0.2263,0.142
2184,uniref90,30,0.07936093,Non-epitope,0.0794,0.2045,0.1628
2187,uniref90,28,0.13830787,Non-epitope,0.1383,0.2165,0.172
2190,uniref90,25,0.079847686,Non-epitope,0.0798,0.2759,0.155
2194,uniref90,29,0.08535402,Non-epitope,0.0854,0.2083,0.1759
2195,uniref90,29,0.09401007,Non-epitope,0.094,0.2153,0.1639
2196,uniref90,29,0.09828215,Non-epitope,0.0983,0.2086,0.1556
3061,uniref90,30,0.14709534,Non-epitope,0.1471,0.2497,0.2043
3254,uniref90,30,0.13547833,Non-epitope,0.1355,0.259,0.1708
3861,uniref90,30,0.104894005,Non-epitope,0.1049,0.1835,0.1407
3863,uniref90,30,0.14810568,Non-epitope,0.1481,0.2318,0.1797
3961,uniref90,30,0.10531426,Non-epitope,0.1053,0.2276,0.1882
4881,uniref90,30,0.076716214,Non-epitope,0.0767,0.2139,0.1079
5415,uniref90,30,0.15069334,Non-epitope,0.1507,0.2934,0.2132
5992,uniref90,30,0.07140792,Non-epitope,0.0714,0.1415,0.0824
5997,uniref90,30,0.1446701,Non-epitope,0.1447,0.2561,0.1695
6041,uniref90,30,0.06398369,Non-epitope,0.064,0.1617,0.1167
6537,uniref90,30,0.08112098,Non-epitope,0.0811,0.2017,0.1289
6544,uniref90,30,0.095983714,Non-epitope,0.096,0.1969,0.1476
6545,uniref90,30,0.07982661,Non-epitope,0.0798,0.1953,0.1269
6548,uniref90,30,0.13150436,Non-epitope,0.1315,0.2272,0.1597
7465,uniref90,30,0.13892837,Non-epitope,0.1389,0.2679,0.1615
7466,uniref90,30,0.14718437,Non-epitope,0.1472,0.2462,0.179
7670,uniref90,30,0.09988997,Non-epitope,0.0999,0.243,0.1704
8307,uniref90,30,0.14603166,Non-epitope,0.146,0.2355,0.1772
9857,uniref90,30,0.10649391,Non-epitope,0.1065,0.2583,0.158
9868,uniref90,30,0.121517606,Non-epitope,0.1215,0.2608,0.1985
9873,uniref90,30,0.117923066,Non-epitope,0.1179,0.2285,0.1551
9936,uniref90,30,0.12269032,Non-epitope,0.1227,0.2676,0.1749
9943,uniref90,30,0.089465745,Non-epitope,0.0895,0.1629,0.1449
9945,uniref90,30,0.11840442,Non-epitope,0.1184,0.2695,0.1543
9951,uniref90,30,0.14452125,Non-epitope,0.1445,0.2589,0.1964
9953,uniref90,30,0.07226504,Non-epitope,0.0723,0.1974,0.1146
10294,uniref90,30,0.09057249,Non-epitope,0.0906,0.1887,0.15
10296,uniref90,30,0.09217862,Non-epitope,0.0922,0.2078,0.1453
10301,uniref90,30,0.08624265,Non-epitope,0.0862,0.1784,0.1352
10307,uniref90,30,0.12448721,Non-epitope,0.1245,0.2686,0.2168
10308,uniref90,30,0.086999044,Non-epitope,0.087,0.2062,0.165
10309,uniref90,30,0.050704464,Non-epitope,0.0507,0.1777,0.0971
10311,uniref90,30,0.06758597,Non-epitope,0.0676,0.1883,0.1197
10312,uniref90,30,0.12574275,Non-epitope,0.1257,0.1717,0.1436
10313,uniref90,30,0.043041464,Non-epitope,0.043,0.1354,0.0742
10496,uniref90,30,0.111779384,Non-epitope,0.1118,0.2071,0.1495
10497,uniref90,30,0.10516105,Non-epitope,0.1052,0.2109,0.1474
10500,uniref90,30,0.0496682,Non-epitope,0.0497,0.1592,0.0836
10504,uniref90,30,0.03994416,Non-epitope,0.0399,0.12,0.0768
10506,uniref90,30,0.078690805,Non-epitope,0.0787,0.2125,0.1667
10507,uniref90,30,0.092854954,Non-epitope,0.0929,0.2025,0.1537
10509,uniref90,30,0.04496139,Non-epitope,0.045,0.1389,0.0791
10513,uniref90,30,0.11014524,Non-epitope,0.1101,0.2477,0.1762
11141,uniref90,30,0.112824194,Non-epitope,0.1128,0.2485,0.2019
11142,uniref90,30,0.14094695,Non-epitope,0.1409,0.2196,0.1839
11144,uniref90,30,0.11307817,Non-epitope,0.1131,0.2008,0.1807
11149,uniref90,30,0.063279815,Non-epitope,0.0633,0.1973,0.1215
11545,uniref90,30,0.047267556,Non-epitope,0.0473,0.131,0.075
11547,uniref90,30,0.14583437,Non-epitope,0.1458,0.2573,0.1809
12407,uniref90,30,0.096131615,Non-epitope,0.0961,0.1979,0.1771
12409,uniref90,30,0.12792008,Non-epitope,0.1279,0.2694,0.192
12413,uniref90,30,0.092176914,Non-epitope,0.0922,0.1932,0.1484
12416,uniref90,30,0.14346805,Non-epitope,0.1435,0.2887,0.2122
12419,uniref90,30,0.08849423,Non-epitope,0.0885,0.196,0.1585
12422,uniref90,30,0.13344191,Non-epitope,0.1334,0.3157,0.2205
12423,uniref90,30,0.04412143,Non-epitope,0.0441,0.1714,0.0845
12424,uniref90,30,0.10178112,Non-epitope,0.1018,0.2255,0.1821
12907,uniref90,30,0.085447975,Non-epitope,0.0854,0.2019,0.155
12908,uniref90,30,0.08517616,Non-epitope,0.0852,0.2209,0.1726
12909,uniref90,30,0.08566569,Non-epitope,0.0857,0.1991,0.1368
12911,uniref90,30,0.10671866,Non-epitope,0.1067,0.3043,0.1964
12913,uniref90,30,0.061067834,Non-epitope,0.0611,0.1562,0.0982
12921,uniref90,30,0.11744912,Non-epitope,0.1174,0.2662,0.1999
13048,uniref90,30,0.08806271,Non-epitope,0.0881,0.1763,0.1262
13049,uniref90,30,0.09844561,Non-epitope,0.0984,0.2433,0.1968
13052,uniref90,30,0.09050367,Non-epitope,0.0905,0.1852,0.1267
13056,uniref90,30,0.061192878,Non-epitope,0.0612,0.1587,0.113
13058,uniref90,30,0.085147955,Non-epitope,0.0851,0.2599,0.1866
13060,uniref90,30,0.12871915,Non-epitope,0.1287,0.2624,0.2098
13064,uniref90,30,0.08043976,Non-epitope,0.0804,0.2016,0.1368
13066,uniref90,30,0.091989085,Non-epitope,0.092,0.2093,0.1654
13437,uniref90,30,0.040831227,Non-epitope,0.0408,0.1304,0.0747
13439,uniref90,30,0.06360498,Non-epitope,0.0636,0.1763,0.1156
13442,uniref90,30,0.040752284,Non-epitope,0.0408,0.1614,0.0832
13447,uniref90,30,0.12773548,Non-epitope,0.1277,0.225,0.1861
14310,uniref90,30,0.049788818,Non-epitope,0.0498,0.1185,0.0796
14313,uniref90,30,0.124297544,Non-epitope,0.1243,0.2459,0.1907
14318,uniref90,30,0.09514377,Non-epitope,0.0951,0.2437,0.1473
14321,uniref90,30,0.10488534,Non-epitope,0.1049,0.2033,0.1424
14326,uniref90,30,0.15011115,Non-epitope,0.1501,0.3195,0.2563
14329,uniref90,30,0.13504839,Non-epitope,0.135,0.2877,0.2367
14656,uniref90,30,0.080098994,Non-epitope,0.0801,0.2117,0.1517
14659,uniref90,30,0.09133719,Non-epitope,0.0913,0.2255,0.1708
14661,uniref90,30,0.08759289,Non-epitope,0.0876,0.1975,0.1393
15579,uniref90,30,0.112098224,Non-epitope,0.1121,0.2012,0.1607
15590,uniref90,30,0.12714764,Non-epitope,0.1271,0.2364,0.1619
15593,uniref90,30,0.07887005,Non-epitope,0.0789,0.2262,0.1474
16801,uniref90,30,0.092432626,Non-epitope,0.0924,0.1922,0.1438
16805,uniref90,30,0.12119844,Non-epitope,0.1212,0.2491,0.1501
